"Name","Classes","LL","n","Parameters","AIC","BIC","saBIC","Entropy","prob_min","prob_max","n_min","n_max","np_ratio","np_local"
"equal var, equal cov 1",1,-3388.56053870426,5605,5,6787.12107740853,6820.27814908606,6804.38966373741,1,1,1,1,1,1121,1121
"equal var, equal cov 2",2,-3082.30644910367,5605,8,6180.61289820734,6233.66421289139,6208.24263633355,0.723103934740247,0.860956970147751,0.946869250095599,0.308474576271186,0.691525423728814,700.625,494
"equal var, equal cov 3",3,-3030.09572231826,5605,11,6082.19144463652,6155.13700232708,6120.18233456005,0.66870155104001,0.714606859881928,0.925497935346214,0.167707404103479,0.555932203389831,509.545454545455,313.333333333333
"free var, equal cov 1",1,-3388.56053870426,5605,5,6787.12107740853,6820.27814908606,6804.38966373741,1,1,1,1,1,1121,1121
"free var, equal cov 2",2,-2544.73655105547,5605,10,5109.47310211093,5175.787245466,5144.01027476869,0.641550751791187,0.50989522659159,0.984879681267885,0.0865298840321142,0.913470115967886,560.5,107.777777777778
"free var, equal cov 3",3,-2256.94623819348,5605,15,4543.89247638696,4643.36369141955,4595.69823537359,0.682409652970874,0.543304366340314,0.937057057165197,0.064049955396967,0.63764495985727,373.666666666667,82.8461538461539
"equal var, free cov 1",1,-3388.56053870426,5605,5,6787.12107740853,6820.27814908606,6804.38966373741,1,1,1,1,1,1121,1121
"equal var, free cov 2",2,-2551.86048083346,5605,9,5121.72096166692,5181.40369068648,5152.8044170589,0.648732086823922,0.517947239533194,0.984998062225818,0.0865298840321142,0.913470115967886,622.777777777778,121.25
"equal var, free cov 3",3,-2367.85626986026,5605,13,4761.71253972052,4847.9209260821,4806.6108641756,0.556901785214115,0.508274806378739,0.912775199603418,0.0178412132024978,0.658697591436218,431.153846153846,27.2727272727273
"free var, free cov 1",1,-3388.56053870426,5605,5,6787.12107740853,6820.27814908606,6804.38966373741,1,1,1,1,1,1121,1121
"free var, free cov 2",2,-2574.87094758677,5605,11,5171.74189517354,5244.68745286411,5209.73278509708,0.556542152565665,0.813665019421944,0.913207509946542,0.3992863514719,0.6007136485281,509.545454545455,447.6
"free var, free cov 3",3,-2111.38085915731,5605,17,4256.76171831462,4369.49576201823,4315.47491183281,0.653862059395143,0.510366343566759,0.876843987066316,0.0363960749330954,0.555218554861731,329.705882352941,40.8
