"label","est_sig","se","pval","confint","group"
"Regressions.freqvisit.ON.distance.class1","0.00","0.00","0.80","[-0.00, 0.00]","class1"
"Means.freqvisit.class1","3.99***","0.18","0.00","[3.64, 4.35]","class1"
"Means.distance.class1","155.25***","3.80","0.00","[147.80, 162.70]","class1"
"Variances.freqvisit.class1","0.53***","0.06","0.00","[0.42, 0.64]","class1"
"Variances.distance.class1","2464.07***","266.69","0.00","[1941.37, 2986.77]","class1"
"Regressions.freqvisit.ON.distance.class2","0.00","0.00","0.77","[-0.00, 0.01]","class2"
"Means.freqvisit.class2","3.66***","0.43","0.00","[2.81, 4.51]","class2"
"Means.distance.class2","159.52***","2.79","0.00","[154.05, 164.98]","class2"
"Variances.freqvisit.class2","1.19***","0.14","0.00","[0.92, 1.46]","class2"
"Variances.distance.class2","1144.27***","133.42","0.00","[882.77, 1405.77]","class2"
"Regressions.freqvisit.ON.distance.class3","-0.00","0.00","0.35","[-0.00, 0.00]","class3"
"Means.freqvisit.class3","3.95***","0.27","0.00","[3.43, 4.47]","class3"
"Means.distance.class3","147.24***","6.09","0.00","[135.30, 159.18]","class3"
"Variances.freqvisit.class3","1.29***","0.17","0.00","[0.95, 1.63]","class3"
"Variances.distance.class3","4200.66***","558.51","0.00","[3105.99, 5295.32]","class3"
"Regressions.freqvisit.ON.distance.class4","-0.00","0.00","0.91","[-0.00, 0.00]","class4"
"Means.freqvisit.class4","3.32***","0.38","0.00","[2.57, 4.08]","class4"
"Means.distance.class4","167.02***","7.06","0.00","[153.18, 180.86]","class4"
"Variances.freqvisit.class4","1.48***","0.23","0.00","[1.02, 1.93]","class4"
"Variances.distance.class4","3989.68***","630.61","0.00","[2753.69, 5225.66]","class4"
