"label","lhs","op","rhs","est","se","pval","confint","est_sig","pval_std","confint_std","name","lbound","lboundmet","uboundmet","std_est","std_se","col","matrix","openmx_label","row","class","Category"
"Loadings.i.BY.scl1","i","=~","scl1","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[1,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl1","class1","Loadings"
"Loadings.i.BY.scl2","i","=~","scl2","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[2,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl2","class1","Loadings"
"Loadings.step.BY.scl2","step","=~","scl2","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[2,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl2","class1","Loadings"
"Loadings.i.BY.scl3","i","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[3,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl3","class1","Loadings"
"Loadings.step.BY.scl3","step","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[3,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl3","class1","Loadings"
"Loadings.s.BY.scl3","s","=~","scl3","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[3,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl3","class1","Loadings"
"Loadings.i.BY.scl4","i","=~","scl4","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[4,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl4","class1","Loadings"
"Loadings.step.BY.scl4","step","=~","scl4","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[4,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl4","class1","Loadings"
"Loadings.s.BY.scl4","s","=~","scl4","2.00","0.00","0.00","[2.00, 2.00]","2.00***",NA,"[0.00, 0.00]","class1.A[4,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl4","class1","Loadings"
"Loadings.i.BY.scl5","i","=~","scl5","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[5,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl5","class1","Loadings"
"Loadings.step.BY.scl5","step","=~","scl5","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[5,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl5","class1","Loadings"
"Loadings.s.BY.scl5","s","=~","scl5","3.00","0.00","0.00","[3.00, 3.00]","3.00***",NA,"[0.00, 0.00]","class1.A[5,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl5","class1","Loadings"
"Loadings.i.BY.scl6","i","=~","scl6","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[6,7]",NA,NA,NA,"0.00","0.00","i","A",NA,"scl6","class1","Loadings"
"Loadings.step.BY.scl6","step","=~","scl6","1.00","0.00","0.00","[1.00, 1.00]","1.00***",NA,"[0.00, 0.00]","class1.A[6,8]",NA,NA,NA,"0.00","0.00","step","A",NA,"scl6","class1","Loadings"
"Loadings.s.BY.scl6","s","=~","scl6","4.00","0.00","0.00","[4.00, 4.00]","4.00***",NA,"[0.00, 0.00]","class1.A[6,9]",NA,NA,NA,"0.00","0.00","s","A",NA,"scl6","class1","Loadings"
"Means.i","i","~1","1","0.35","0.00","0.00","[0.35, 0.36]","0.35***",NA,"[NA, NA]","class1.M[1,7]",NA,FALSE,FALSE," Inf",NA,"i","M","class1.M[1,7]","1","class1","Means"
"Means.step","step","~1","1","-0.03","0.01","0.00","[-0.04, -0.02]","-0.03***",NA,"[NA, NA]","class1.M[1,8]",NA,FALSE,FALSE,"-Inf",NA,"step","M","class1.M[1,8]","1","class1","Means"
"Means.s","s","~1","1","0.01","0.00","0.00","[0.00, 0.01]","0.01***",NA,"[NA, NA]","class1.M[1,9]",NA,FALSE,FALSE," Inf",NA,"s","M","class1.M[1,9]","1","class1","Means"
